"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","bathrooms_text","accommodates","price","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
3527,3,0,1,1,1,"Brooklyn",40.6415,-73.90778,1,8,175,3,268,4.92,0,1.69,1,0,0,0,0,1,0,0,0,5.16478597392351
3525,0,0,1,1,1,"Brooklyn",40.68583,-73.9263,1,5,120,30,0,4.65,0,0.77,1,0,0,0,0,1,0,0,0,4.78749174278205
3525,3,0,1,1,1,"Brooklyn",40.71789,-73.9589,0,2,200,30,11,4.81,0,0.2,1,0,0,0,0,1,0,0,0,5.29831736654804
3525,0,0,1,1,1,"Manhattan",40.78055,-73.94997,1,2,141,5,0,4.77,0,0.15,1,0,0,0,0,0,1,0,0,4.94875989037817
3525,0,0,1,1,1,"Manhattan",40.73562,-74.00475,1,2,150,30,0,4.9,0,0.38,1,0,0,0,0,0,1,0,0,5.01063529409626
3524,1,0,3,1,1,"Brooklyn",40.69408,-73.9744,2,4,300,250,263,4.25,0,0.04,1,0,0,0,0,1,0,0,0,5.7037824746562
3542,4,1,1,1,1,"Manhattan",40.76842,-73.95532,1,2,114,30,46,4.86,0,0.69,1,0,0,0,0,0,1,0,0,4.7361984483945
3523,4,0,2,1,1,"Brooklyn",40.68547,-73.95283,1,6,170,5,271,4.66,0,2.6,1,0,0,0,0,1,0,0,0,5.13579843705026
3555,4,1,1,1,1,"Manhattan",40.77306,-73.95068,1,2,150,3,168,4.74,0,1.5,0,0,1,0,0,0,1,0,0,5.01063529409626
3523,4,0,2,1,1,"Brooklyn",40.68489,-73.95341,1,6,145,120,154,4.65,0,2.41,1,0,0,0,0,1,0,0,0,4.97673374242057
3948,0,0,1,1,1,"Brooklyn",40.70708,-73.94163,1,3,115,30,0,5,0,0.01,1,0,0,0,0,1,0,0,0,4.74493212836325
3522,3,0,1,1,1,"Manhattan",40.81157,-73.95635,1,3,128,30,292,4.42,0,0.25,1,0,0,0,0,0,1,0,0,4.85203026391962
3884,4,1,5,1,1,"Brooklyn",40.68768,-73.95262,1,1,50,10,13,4.7,0,0.76,0,0,1,0,0,1,0,0,0,3.91202300542815
3521,0,0,1,1,1,"Manhattan",40.73175,-74.00686,1,2,200,30,0,4.45,0,0.19,1,0,0,0,0,0,1,0,0,5.29831736654804
3884,4,1,5,1,1,"Brooklyn",40.68628,-73.95111,1,1,50,10,21,4.82,0,0.28,0,0,1,0,0,1,0,0,0,3.91202300542815
3695,2,0,3,1,1,"Brooklyn",40.70518,-73.93634,1,2,31,30,43,4.49,0,0.42,0,0,1,0,0,1,0,0,0,3.43398720448515
3750,1,0,1,1,1,"Brooklyn",40.64085,-73.95469,1,2,97,2,242,4.56,0,2.08,1,0,0,0,0,1,0,0,0,4.57471097850338
4502,4,1,1,1,1,"Brooklyn",40.67907,-73.9767,1,1,250,30,295,4.76,0,0.87,1,0,0,0,0,1,0,0,0,5.52146091786225
4039,2,0,42,1,1,"Manhattan",40.76688,-73.98644,1,4,170,30,291,4.63,0,0.1,1,0,0,0,0,0,1,0,0,5.13579843705026
4797,3,0,2,1,1,"Manhattan",40.72986,-74.00299,1,1,149,4,60,4.64,0,2.55,0,0,1,0,0,0,1,0,0,5.00394630594546
4251,0,0,2,1,1,"Manhattan",40.72745,-73.99904,1,2,251,4,0,4.85,0,0.28,1,0,0,0,0,0,1,0,0,5.52545293913178
3683,4,1,4,1,1,"Brooklyn",40.69191,-73.93901,1,3,160,2,67,4.63,1,2.68,1,0,0,0,0,1,0,0,0,5.07517381523383
3520,3,0,1,1,0,"Manhattan",40.78711,-73.97155,2,3,375,7,283,5,0,0.14,1,0,0,0,0,0,1,0,0,5.92692602597041
4040,0,0,1,1,1,"Manhattan",40.72278,-73.9881,1,2,145,30,0,5,0,0.03,1,0,0,0,0,0,1,0,0,4.97673374242057
3519,3,1,2,1,0,"Staten Island",40.61033,-74.06544,1,2,88,5,296,4.87,0,0.31,0,0,1,0,0,0,0,0,1,4.47733681447821
3544,2,0,2,1,1,"Brooklyn",40.70981,-73.94865,1,2,155,30,28,4.69,0,2.1,1,0,0,0,0,1,0,0,0,5.04342511691925
3518,2,0,1,1,1,"Manhattan",40.76412,-73.98854,1,2,280,30,345,4.82,1,0.8,1,0,0,0,0,0,1,0,0,5.63478960316925
3517,2,0,1,0,0,"Manhattan",40.73571,-73.98532,1,1,275,30,365,4.83,0,0.06,1,0,0,0,0,0,1,0,0,5.61677109766657
4039,2,0,42,1,1,"Manhattan",40.76453,-73.98811,1,4,170,30,308,4.4,0,0.2,1,0,0,0,0,0,1,0,0,5.13579843705026
4039,2,0,42,1,1,"Manhattan",40.76684,-73.98802,1,6,225,30,262,4.44,0,0.31,1,0,0,0,0,0,1,0,0,5.41610040220442
4039,2,0,42,1,1,"Manhattan",40.7665,-73.98844,1,5,225,30,278,4.8,0,0.17,1,0,0,0,0,0,1,0,0,5.41610040220442
3516,3,0,1,1,1,"Manhattan",40.72264,-73.9974,1,4,250,4,2,4,0,0.05,1,0,0,0,0,0,1,0,0,5.52146091786225
3704,0,0,1,1,1,"Manhattan",40.74011,-73.98185,1,2,200,30,0,0,0,0,1,0,0,0,0,0,1,0,0,5.29831736654804
3514,3,1,2,1,1,"Manhattan",40.81835,-73.94638,1,3,135,30,304,4.58,1,1.32,1,0,0,0,0,0,1,0,0,4.90527477843843
3514,4,0,2,1,1,"Brooklyn",40.68069,-73.91034,1,4,121,30,365,4.83,0,0.09,0,0,1,0,0,1,0,0,0,4.79579054559674
3513,2,0,2,1,1,"Queens",40.7265,-73.89651,2,7,200,5,224,4.84,0,0.4,1,0,0,0,0,0,0,1,0,5.29831736654804
3514,0,0,1,1,0,"Bronx",40.8827,-73.86281,2,2,54,1,0,4.52,0,0.4,0,0,1,0,1,0,0,0,0,3.98898404656427
3785,2,0,2,1,1,"Manhattan",40.80473,-73.95047,1,2,89,3,144,4.51,0,1.02,0,0,1,0,0,0,1,0,0,4.48863636973214
3966,1,0,0,1,1,"Manhattan",40.79959,-73.93857,1,2,68,30,91,4.87,0,0.44,0,0,1,0,0,0,1,0,0,4.21950770517611
3510,0,0,1,1,0,"Brooklyn",40.73198,-73.95446,1,2,70,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4.24849524204936
3541,4,0,1,1,1,"Brooklyn",40.68228,-73.97916,1,6,257,30,365,4.76,0,0.64,1,0,0,0,0,1,0,0,0,5.54907608489522
3688,4,0,1,1,1,"Manhattan",40.76757,-73.98593,1,2,97,2,10,4.6,0,3.29,0,0,1,0,0,0,1,0,0,4.57471097850338
3574,4,1,1,1,0,"Queens",40.76527,-73.92979,1,1,47,60,148,4.88,0,0.25,0,0,1,0,0,0,0,1,0,3.85014760171006
3509,0,0,1,1,1,"Brooklyn",40.65897,-73.94957,1,1,80,30,154,5,0,0.01,0,0,1,0,0,1,0,0,0,4.38202663467388
4306,2,0,0,1,1,"Manhattan",40.85276,-73.9374,1,2,75,21,15,4.88,0,0.31,1,0,0,0,0,0,1,0,0,4.31748811353631
3930,2,0,1,1,1,"Brooklyn",40.71427,-73.9597,1,4,120,30,21,4.8,0,0.32,1,0,0,0,0,1,0,0,0,4.78749174278205
3508,0,1,0,1,1,"Queens",40.76131,-73.92367,1,2,60,2,0,4.91,1,0.95,0,0,1,0,0,0,0,1,0,4.0943445622221
4011,4,0,2,1,1,"Brooklyn",40.70801,-73.95325,1,2,107,1,320,4.51,1,3.02,0,0,1,0,0,1,0,0,0,4.67282883446191
4693,2,0,1,1,1,"Manhattan",40.71988,-73.98559,1,2,100,30,49,4.63,0,2.83,0,0,1,0,0,0,1,0,0,4.60517018598809
3507,0,0,2,1,1,"Manhattan",40.81212,-73.94651,1,3,75,30,0,4.35,0,0.31,1,0,0,0,0,0,1,0,0,4.31748811353631
3507,3,1,1,1,1,"Manhattan",40.72169,-73.99741,1,2,185,30,203,4.8,0,0.83,1,0,0,0,0,0,1,0,0,5.22035582507832
3513,4,0,1,1,1,"Brooklyn",40.63291,-73.95569,1,2,75,30,346,4.5,0,1.22,1,0,0,0,0,1,0,0,0,4.31748811353631
