"host_since","host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","bathrooms_text","accommodates","minimum_nights","availability_365","review_scores_rating","instant_bookable","reviews_per_month","room_typeEntire home/apt","room_typeHotel room","room_typePrivate room","room_typeShared room","neighbourhood_group_cleansedBronx","neighbourhood_group_cleansedBrooklyn","neighbourhood_group_cleansedManhattan","neighbourhood_group_cleansedQueens","neighbourhood_group_cleansedStaten Island","price_log"
4773,0,0,1,1,1,1,4,30,0,4.62,0,0.27,1,0,0,0,0,1,0,0,0,4.4188406077966
4769,4,0,1,1,1,1,2,1,0,4.75,0,1.35,0,0,1,0,0,0,1,0,0,4.60517018598809
4899,3,0,2,1,1,0.5,1,2,259,4.5,0,3.05,0,0,1,0,0,0,1,0,0,4.36944785246702
4964,4,1,2,1,1,1,2,30,35,4.93,1,3.28,1,0,0,0,0,1,0,0,0,4.49980967033027
4752,4,0,1,1,1,1.5,4,30,286,4.6,0,0.21,1,0,0,0,0,0,1,0,0,5.41610040220442
4745,4,1,1,1,1,1,6,2,293,4.77,0,1.67,1,0,0,0,0,0,1,0,0,5.19295685089021
4744,0,0,1,1,1,1,3,30,0,4.85,0,0.18,1,0,0,0,0,0,1,0,0,4.60517018598809
4738,4,0,1,1,0,1,4,30,155,4.95,0,0.14,1,0,0,0,0,0,1,0,0,5.01063529409626
4990,3,0,5,1,1,1,2,30,281,4.69,0,0.49,0,0,1,0,0,1,0,0,0,4.38202663467388
4733,4,1,1,1,1,1,2,3,243,4.93,1,2.15,0,0,1,0,0,1,0,0,0,4.48863636973214
4735,3,0,1,1,1,1,3,30,233,4.76,0,0.81,1,0,0,0,0,0,1,0,0,5.22035582507832
4749,4,1,3,1,1,1,1,28,329,4.87,0,0.47,0,0,1,0,0,0,1,0,0,5.10594547390058
4720,0,0,1,1,1,1,2,30,0,4.71,0,0.23,1,0,0,0,0,0,1,0,0,4.78749174278205
4718,0,0,1,1,1,1,2,30,0,4.33,0,0.03,0,0,1,0,0,1,0,0,0,4.38202663467388
4717,4,0,3,1,1,1,2,2,314,4.49,1,3.47,0,0,1,0,0,1,0,0,0,4.56434819146784
